 	Area	Mean	StdDev	Min	Max	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	AR	Round	Solidity
1	11373	54.288	35.445	0	174	470.475	1126	1	164	103	153.719	94.201	16.080	0.646	1.632	0.613	0.951
2	14974	46.742	34.435	0	167	567.529	3143	546	155	174	199.692	95.475	129.658	0.584	2.092	0.478	0.939
3	8443	45.471	35.137	0	161	394.877	2807	663	116	97	112.928	95.193	11.641	0.680	1.186	0.843	0.926
4	4438	52.684	41.182	0	164	286.350	2755	677	69	94	94.533	59.774	99.238	0.680	1.581	0.632	0.928
5	11244	52.251	41.141	0	168	486.215	2809	754	145	113	139.763	102.433	7.587	0.598	1.364	0.733	0.923
6	15255	52.042	37.865	0	165	562.541	1656	971	176	144	167.904	115.681	152.307	0.606	1.451	0.689	0.931
7	19418	35.389	36.882	0	159	602.784	2849	1101	169	169	185.308	133.420	129.933	0.672	1.389	0.720	0.947
8	11660	45.210	30.374	0	137	471.487	3623	1234	149	117	140.499	105.666	173.279	0.659	1.330	0.752	0.937
9	14060	47.395	33.158	0	158	512.014	1723	1245	165	124	162.144	110.407	167.912	0.674	1.469	0.681	0.943
10	10989	49.209	34.047	0	143	444.375	3622	1330	116	139	133.102	105.119	118.188	0.699	1.266	0.790	0.940
11	19464	38.539	30.710	0	142	642.039	1638	1757	198	181	191.562	129.370	34.406	0.593	1.481	0.675	0.897
12	12168	43.901	34.169	0	153	469.730	165	1798	120	143	135.937	113.970	103.109	0.693	1.193	0.838	0.948
13	11806	39.393	33.692	0	158	439.931	1364	1876	126	127	125.939	119.358	136.252	0.767	1.055	0.948	0.956
14	13745	44.193	31.306	0	156	473.872	1757	1883	133	146	145.237	120.498	53.104	0.769	1.205	0.830	0.956
15	15414	42.985	32.566	0	150	540.500	1662	1984	134	171	175.654	111.730	61.308	0.663	1.572	0.636	0.941
16	13948	40.150	26.992	0	146	494.884	371	2010	153	142	137.810	128.867	42.496	0.716	1.069	0.935	0.933
17	1664	50.421	29.981	1	128	171.154	1	2027	41	51	54.740	38.704	112.243	0.714	1.414	0.707	0.940
18	12503	51.704	36.352	0	151	484.274	3415	2041	120	147	147.885	107.647	90.712	0.670	1.374	0.728	0.936
19	275	66.673	33.248	3	134	73.983	729	2051	21	26	27.335	12.809	54.810	0.631	2.134	0.469	0.836
20	16312	42.274	26.763	0	142	536.600	473	2065	150	143	159.690	130.059	44.882	0.712	1.228	0.814	0.946
21	77	82.844	35.719	14	134	34.870	721	2073	12	11	10.727	9.139	172.136	0.796	1.174	0.852	0.824
22	1951	57.970	37.720	0	143	213.539	1	2077	40	73	69.742	35.618	74.235	0.538	1.958	0.511	0.918
23	102	84.500	39.866	3	156	38.971	717	2081	10	13	13.763	9.436	75.686	0.844	1.459	0.686	0.911
24	50	47.580	16.348	14	77	27.799	749	2091	10	8	10.682	5.960	29.069	0.813	1.792	0.558	0.840
25	148	96.520	30.787	23	138	59.698	712	2095	13	22	22.623	8.329	70.217	0.522	2.716	0.368	0.785
26	162	86.623	31.575	13	138	55.598	808	2102	20	16	21.600	9.549	148.838	0.659	2.262	0.442	0.812
27	53	44.509	22.331	11	85	34.142	755	2113	14	6	14.424	4.679	6.671	0.571	3.083	0.324	0.835
28	198	81.737	33.159	12	139	66.083	826	2113	21	22	24.558	10.265	135.305	0.570	2.392	0.418	0.769
